Id,Requester id,Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,First reply time in minutes within business hours,First resolution time in minutes,First resolution time in minutes within business hours,Full resolution time in minutes,Full resolution time in minutes within business hours,Requester wait time in minutes,Requester wait time in minutes within business hours,Manual Tagging of Categories [list]
297732,10300555531549,Support,Solved,Low,Mail,2023-04-08 20:52:00,2023-06-14 16:30:00,2023-04-09 10:28:00,2023-04-09 10:28:00,2023-06-14 16:30:00,1604.0,Offered,1,11,173.0,12975.0,6488.0,96218.0,47978.0,17853.0,8516.0,Is my treatment covered (IMTC)
311457,10420228868125,Reimbursement Claims,Closed,Low,Mail,2023-04-24 19:32:00,2023-06-15 16:37:00,2023-04-25 10:18:00,2023-04-25 10:18:00,2023-05-26 16:26:00,765.0,Offered,1,10,1527.0,2984.0,1527.0,45893.0,22853.0,30113.0,14678.0,-
329907,10991633548957,Support,Solved,Low,Mail,2023-05-16 17:43:00,2023-05-30 14:56:00,2023-05-16 18:18:00,2023-05-16 18:18:00,2023-05-30 14:56:00,333.0,4,1,11,61.0,1563.0,843.0,19993.0,9913.0,7115.0,3335.0,Claims
301553,10376247288477,Support,Solved,Low,Mail,2023-04-13 11:03:00,2023-06-15 20:55:00,2023-04-13 13:04:00,2023-04-13 13:04:00,2023-06-15 20:55:00,1522.0,Offered,1,9,381.0,2888.0,1448.0,91313.0,45953.0,18221.0,9401.0,Claims
310966,7302858920989,Support,Closed,Low,Mail,2023-04-24 13:21:00,2023-06-08 18:37:00,2023-04-27 14:48:00,2023-04-24 13:48:00,2023-05-19 18:25:00,605.0,4,1,9,37.0,37.0,37.0,36304.0,17739.0,7427.0,4008.0,Claims
327745,10943518736797,Support,Solved,Low,Mail,2023-05-14 11:54:00,2023-06-07 17:55:00,2023-05-14 12:53:00,2023-05-14 12:53:00,2023-06-07 17:55:00,582.0,1,1,6,62.0,411.0,411.0,34921.0,17641.0,3708.0,2088.0,Claims
295978,6763878549661,Onboardings,Closed,Low,Mail,2023-04-06 14:46:00,2023-05-31 06:09:00,2023-04-06 14:58:00,2023-04-06 14:58:00,2023-05-02 12:23:00,622.0,Offered,1,8,4070.0,5832.0,2952.0,37297.0,18577.0,9779.0,4739.0,-
296254,10264923488797,Support,Closed,Low,Mail,2023-04-06 18:02:00,2023-06-03 06:08:00,2023-04-06 18:13:00,2023-04-06 18:13:00,2023-05-05 12:17:00,690.0,Offered,1,10,67.0,5456.0,2576.0,41415.0,20535.0,13311.0,6831.0,Claims
305159,10449860988189,Support,Solved,Low,Mail,2023-04-17 18:05:00,2023-06-07 19:58:00,2023-04-18 08:51:00,2023-04-18 08:51:00,2023-06-07 19:58:00,1226.0,4,1,10,356.0,11038.0,5278.0,73553.0,36833.0,19107.0,9027.0,Claims
317147,9962972286365,Support,Closed,Low,Internal Communication,2023-05-02 10:55:00,2023-06-07 10:35:00,2023-05-02 11:22:00,2023-05-02 11:22:00,2023-05-18 09:36:00,383.0,Offered,1,7,221.0,42.0,42.0,22961.0,11441.0,7367.0,3047.0,-
291916,10179955323421,Support,Closed,Low,Mail,2023-04-02 17:16:00,2023-06-07 07:36:00,2023-05-12 14:25:00,2023-04-02 20:28:00,2023-05-16 14:30:00,1053.0,Offered,1,14,202.0,1155.0,435.0,63194.0,31514.0,22868.0,11348.0,Claims
292980,10201969224861,Reimbursement Claims,Closed,Low,Mail,2023-04-03 19:47:00,2023-06-06 06:12:00,2023-04-04 10:20:00,2023-04-04 10:20:00,2023-05-08 14:19:00,835.0,Offered,1,13,792.0,4184.0,2024.0,50072.0,24872.0,44958.0,14678.0,-
295143,10243349132061,Support,Closed,Low,Mail,2023-04-05 19:04:00,2023-06-13 19:38:00,2023-04-18 15:37:00,2023-04-05 19:20:00,2023-05-24 18:43:00,1176.0,1,1,20,57.0,5843.0,2963.0,70539.0,35259.0,64456.0,14678.0,Claims
297731,7302685672221,Support,Closed,Low,Mail,2023-04-08 20:49:00,2023-05-27 06:08:00,2023-04-09 10:28:00,2023-04-09 10:28:00,2023-04-28 15:33:00,475.0,4,1,6,150.0,6743.0,3143.0,28484.0,14084.0,13436.0,6047.0,Health ID
302214,7303444921245,Support,Closed,Low,Mail,2023-04-13 17:38:00,2023-06-18 10:34:00,2023-04-13 18:12:00,2023-04-13 18:12:00,2023-05-29 10:09:00,1097.0,4,1,7,61.0,61.0,61.0,65791.0,32671.0,1020.0,300.0,Claims
